player_name,position,actual_pts,actual_reb,actual_ast,actual_fantasy_points,predicted_pts,predicted_reb,predicted_ast,predicted_fantasy_points
Bam Adebayo,C,12,12,6,53.9,19.7,9.9,3.5,42.73
Bam Adebayo,C,20,9,4,39.8,21.4,10.0,3.5,43.27
Bam Adebayo,C,9,7,7,35.9,21.1,9.6,3.6,41.11
Bam Adebayo,C,20,12,3,42.4,20.6,9.7,3.0,40.03
Bam Adebayo,C,30,11,7,68.2,21.1,9.5,3.1,39.33
Bam Adebayo,C,24,8,2,34.6,21.1,9.5,3.0,37.57
Bam Adebayo,C,5,13,3,31.1,20.2,9.5,2.9,37.04
Bam Adebayo,C,19,11,5,39.2,20.0,9.5,3.0,37.45
Bam Adebayo,C,16,5,5,31.5,19.6,9.7,3.1,37.5
Bam Adebayo,C,8,10,10,39.5,19.8,9.5,3.2,37.5
Bam Adebayo,C,14,10,10,52.0,20.1,9.7,3.1,38.15
Bam Adebayo,C,9,5,1,16.5,19.8,9.7,3.1,38.15
Bam Adebayo,C,12,11,3,36.2,20.3,9.6,2.9,38.01
Bam Adebayo,C,12,10,4,48.5,22.2,9.9,3.2,42.23
Bam Adebayo,C,11,3,4,22.6,21.0,9.9,3.3,42.64
Bradley Beal,SG,17,5,3,31.5,17.3,4.6,4.3,30.09
Bradley Beal,SG,7,2,3,24.9,14.2,4.0,2.8,21.08
Bradley Beal,SG,15,4,3,23.3,16.6,4.1,4.0,28.04
Bradley Beal,SG,28,8,2,45.6,17.0,4.2,4.5,29.52
Bradley Beal,SG,24,3,4,40.6,17.1,3.5,4.5,29.5
Bradley Beal,SG,23,2,2,28.4,16.8,3.7,4.4,29.1
Bradley Beal,SG,17,3,0,18.6,15.6,4.5,3.8,27.34
Bradley Beal,SG,24,3,1,33.1,14.0,4.5,1.8,20.14
Bradley Beal,SG,15,1,9,36.7,12.0,3.5,3.5,15.38
Bradley Beal,SG,15,3,4,32.6,11.6,3.0,3.7,15.18
Cole Anthony,PG,9,4,3,16.3,8.6,3.2,4.6,23.88
Cole Anthony,PG,9,3,3,19.1,9.5,3.3,4.9,22.25
Cole Anthony,PG,8,6,2,20.2,9.6,3.1,5.2,21.87
Cole Anthony,PG,16,2,0,16.4,11.1,3.0,3.9,24.13
Cole Anthony,PG,6,3,2,14.6,10.5,3.2,4.1,23.39
Cole Anthony,PG,4,2,1,6.9,10.1,3.2,3.8,23.4
Cole Anthony,PG,16,8,4,30.6,11.2,3.2,3.6,23.27
Cole Anthony,PG,9,1,1,10.7,10.6,3.2,3.5,23.78
Cole Anthony,PG,0,3,6,10.6,10.5,3.2,3.7,23.78
Cole Anthony,PG,4,1,2,16.2,15.8,4.3,4.1,31.77
Cole Anthony,PG,0,5,1,7.5,15.6,4.4,3.9,31.28
Dalano Banton,SF,13,3,2,24.6,5.8,2.1,2.2,15.93
Dalano Banton,SF,12,4,5,28.3,5.8,2.0,2.4,15.93
Dalano Banton,SF,13,2,5,30.9,5.8,2.1,2.4,15.93
Dalano Banton,SF,23,4,4,34.8,5.8,2.1,2.4,15.93
Dalano Banton,SF,10,4,2,23.8,5.8,2.2,2.5,15.93
Dalano Banton,SF,1,2,2,7.4,5.8,2.5,2.6,15.93
Dalano Banton,SF,7,6,5,23.7,5.8,2.1,2.2,15.93
Dalano Banton,SF,11,2,2,13.4,6.1,2.1,2.1,16.82
Dalano Banton,SF,8,4,1,18.3,6.1,2.1,2.1,16.82
Dalano Banton,SF,17,2,2,33.4,5.9,2.3,2.1,16.06
Deandre Ayton,C,6,8,1,16.1,16.0,9.7,1.1,34.41
Deandre Ayton,C,16,12,2,42.9,14.7,9.6,1.1,34.48
Deandre Ayton,C,26,9,2,44.8,14.2,9.9,1.1,33.1
Deandre Ayton,C,10,11,2,32.7,14.8,9.8,1.1,33.57
Deandre Ayton,C,10,15,2,37.5,17.8,9.9,1.1,36.67
Deandre Ayton,C,17,12,0,33.9,17.7,9.8,1.1,36.14
Deandre Ayton,C,20,11,1,35.2,16.6,10.0,1.1,35.78
Deandre Ayton,C,15,12,1,37.4,17.2,9.9,1.2,35.92
Deni Avdija,SF,17,4,5,34.3,18.3,6.5,4.6,35.29
Deni Avdija,SF,7,6,1,15.7,18.6,6.7,4.4,35.12
Deni Avdija,SF,12,8,4,35.6,16.4,6.7,4.4,34.86
Deni Avdija,SF,13,6,1,26.7,17.1,6.7,4.2,35.09
Deni Avdija,SF,13,6,1,17.7,17.0,6.7,4.3,34.55
Deni Avdija,SF,14,10,2,42.5,15.6,6.6,4.3,34.34
Deni Avdija,SF,17,8,6,38.6,16.7,6.6,4.1,34.41
Deni Avdija,SF,16,5,7,36.5,16.4,6.5,4.3,33.88
Deni Avdija,SF,20,9,5,47.3,16.8,6.7,4.2,34.66
Deni Avdija,SF,15,7,2,34.4,17.3,6.7,4.1,34.58
Deni Avdija,SF,2,6,6,25.2,16.4,6.6,4.4,34.66
Deni Avdija,SF,11,6,3,24.7,19.4,6.6,4.5,36.62
Deni Avdija,SF,9,4,1,19.3,19.9,6.6,4.5,37.0
Deni Avdija,SF,13,10,2,36.5,20.0,7.0,4.5,37.4
Desmond Bane,SG,12,2,3,18.9,23.6,4.7,5.6,43.09
Desmond Bane,SG,18,6,2,31.2,23.9,5.8,5.9,45.44
Desmond Bane,SG,11,11,7,37.2,30.1,5.8,5.6,48.79
Desmond Bane,SG,5,5,5,19.5,22.8,6.5,5.7,38.0
Desmond Bane,SG,21,10,6,45.5,20.6,4.5,6.0,37.8
Desmond Bane,SG,13,7,2,25.4,20.5,5.5,6.2,37.74
Desmond Bane,SG,8,7,2,20.4,21.0,4.4,5.6,38.2
Desmond Bane,SG,2,7,7,18.9,20.9,3.6,5.4,38.66
Desmond Bane,SG,7,3,4,18.6,21.5,3.7,5.9,38.91
Desmond Bane,SG,24,4,4,39.8,21.5,3.7,5.9,38.91
Desmond Bane,SG,17,3,4,36.6,21.7,3.7,5.9,38.73
Desmond Bane,SG,13,7,2,27.4,22.4,3.9,5.5,39.02
Desmond Bane,SG,30,7,4,43.4,21.9,4.0,5.4,38.54
Desmond Bane,SG,10,6,0,15.2,20.7,3.7,6.2,38.42
Dominick Barlow,SF,13,10,2,32.5,6.5,4.6,1.0,16.58
Dominick Barlow,SF,2,3,0,5.6,6.5,4.8,1.0,16.5
Dominick Barlow,SF,4,2,0,6.4,6.6,4.8,1.0,16.78
