pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,player_id,player_type,fetch_date
FF,2025-06-19,95.9,-1.73,5.9,"Strider, Spencer",643446,675911,strikeout,swinging_strike,,,,,11,Jeff McNeil strikes out swinging.,R,L,R,ATL,NYM,S,2.0,,1,2,2025,-0.48,1.58,-0.38,4.2,,,,2,6,Top,,,,,,,4.72171188131219,-139.6032823823161,-2.4916278543208983,-7.3264213053770115,32.397654891713934,-11.176840478178828,3.6,1.68,,,,96.9,2347,6.9,777455,686948,621566,645277,663586,669397,657077,671739,660670,53.58,,0.0,0.0,1.0,0.0,0.0,,50,4,4-Seam Fastball,3,1,1,3,1,3,1,3,Strategic,Standard,208,0.012,-0.18,58.1,5.1,,0.18,,2,-2,0.84,0.16,26,33,27,33,3,2,5,1,,1.0,0.9,0.48,-0.48,42.0,-9.14940438845946,40.514756454810026,22.84972654693021,37.68636070644135,9.149435202669654,675911,pitcher,2025-06-22T01:44:09.924081
SL,2025-06-19,82.0,-1.8,5.75,"Strider, Spencer",643446,675911,,foul,,,,,8,Jeff McNeil strikes out swinging.,R,L,R,ATL,NYM,S,,,1,1,2025,0.59,-0.05,-0.19,2.06,,,,2,6,Top,,,,,,,2.564927168585933,-119.60340045316566,-1.7887425504385437,5.29145014112877,20.434443898702614,-32.57921090193896,3.6,1.68,54.0,90.4,1.0,84.1,2400,7.3,777455,686948,621566,645277,663586,669397,657077,671739,660670,53.23,,,,,,,,50,3,Slider,3,1,1,3,1,3,1,3,Strategic,Standard,115,0.0,-0.064,75.5,8.1,,0.064,90.4,2,-2,0.84,0.16,26,33,27,33,3,2,5,1,,1.0,3.4,-0.59,0.59,39.8,17.54540838215566,-15.565908898789877,34.458946302904685,35.741372305106275,38.37876943503189,675911,pitcher,2025-06-22T01:44:09.924081
CU,2025-06-19,79.9,-2.0,5.72,"Strider, Spencer",643446,675911,,ball,,,,,14,Jeff McNeil strikes out swinging.,R,L,R,ATL,NYM,B,,,0,1,2025,0.96,-0.65,0.04,-1.31,,,,2,6,Top,,,,,,,2.7096805036024487,-116.17506691108068,-7.619276280595247,8.198340989048146,22.106820958387665,-36.775259926251685,3.6,1.71,,,,80.8,2675,7.0,777455,686948,621566,645277,663586,669397,657077,671739,660670,53.5,,,,,,,,50,2,Curveball,3,1,1,3,1,3,1,3,Strategic,Standard,63,0.0,0.029,,,,-0.029,,2,-2,0.84,0.16,26,33,27,33,3,2,5,1,,1.0,4.23,-0.96,0.96,39.5,,,,,,675911,pitcher,2025-06-22T01:44:09.924081
FF,2025-06-19,95.1,-1.73,5.86,"Strider, Spencer",643446,675911,,foul,,,,,1,Jeff McNeil strikes out swinging.,R,L,R,ATL,NYM,S,,,0,0,2025,-0.61,1.44,-0.41,3.21,,,,2,6,Top,,,,,,,4.904135082103305,-138.4435734167075,-4.632830647670467,-8.950812074225622,29.105928637622025,-12.822139251880406,3.6,1.68,240.0,78.0,27.0,96.9,2185,7.2,777455,686948,621566,645277,663586,669397,657077,671739,660670,53.33,,,,,,,,50,1,4-Seam Fastball,3,1,1,3,1,3,1,3,Strategic,Standard,214,0.0,-0.041,66.0,5.8,,0.041,88.0,2,-2,0.84,0.16,26,33,27,33,3,2,5,1,,1.0,1.07,0.61,-0.61,41.2,-11.568479939737331,29.104788631037508,31.434329902050035,37.22454012267046,12.706274347756253,675911,pitcher,2025-06-22T01:44:09.924081
FF,2025-06-19,95.6,-1.77,5.83,"Strider, Spencer",516782,675911,field_out,hit_into_play,,,,,4,Starling Marte flies out to right fielder Ronald Acuña Jr.,R,R,R,ATL,NYM,X,9.0,fly_ball,1,1,2025,-0.84,1.38,-0.4,2.48,,,,1,6,Top,193.74,83.46,,,,,5.558078978081277,-139.0264511997034,-6.358404704129933,-12.113947240630017,31.92400671654878,-13.044283720839754,3.59,1.6,331.0,95.8,34.0,96.6,2322,6.9,777455,686948,621566,645277,663586,669397,657077,671739,660670,53.56,0.18,0.331,0.0,1.0,0.0,0.0,3.0,49,3,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,212,0.021,-0.243,74.8,6.9,0.635,0.243,95.8,2,-2,0.819,0.181,26,36,27,37,3,2,5,1,,,1.12,0.84,0.84,41.4,-1.7259801751428805,6.520478389123881,37.90691206204435,32.84737718972625,18.750765048345,675911,pitcher,2025-06-22T01:44:09.924081
FF,2025-06-19,95.5,-1.81,5.84,"Strider, Spencer",516782,675911,,called_strike,,,,,4,Starling Marte flies out to right fielder Ronald Acuña Jr.,R,R,R,ATL,NYM,S,,,1,0,2025,-0.65,1.36,-0.38,2.79,,,,1,6,Top,,,,,,,5.334271952608672,-138.9350501577022,-5.52463470106677,-9.685583621544891,32.015218730166296,-13.485608717619616,3.59,1.62,,,,96.8,2359,7.1,777455,686948,621566,645277,663586,669397,657077,671739,660670,53.41,,,,,,,,49,2,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,212,0.0,-0.051,,,,0.051,,2,-2,0.819,0.181,26,36,27,37,3,2,5,1,,,1.14,0.65,0.65,40.8,,,,,,675911,pitcher,2025-06-22T01:44:09.924081
FF,2025-06-19,95.6,-1.72,5.79,"Strider, Spencer",516782,675911,,ball,,,,,14,Starling Marte flies out to right fielder Ronald Acuña Jr.,R,R,R,ATL,NYM,B,,,0,0,2025,-0.56,1.39,1.4,2.37,,,,1,6,Top,,,,,,,9.626425471277258,-138.8168839218677,-6.568789257464729,-9.473789175245464,32.766946385364434,-12.812336745614914,3.34,1.53,,,,96.6,2337,7.1,777455,686948,621566,645277,663586,669397,657077,671739,660670,53.38,,,,,,,,49,1,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,210,0.0,0.039,,,,-0.039,,2,-2,0.819,0.181,26,36,27,37,3,2,5,1,,,1.12,0.56,0.56,43.4,,,,,,675911,pitcher,2025-06-22T01:44:09.924081
FF,2025-06-19,94.0,-1.96,5.8,"Strider, Spencer",624413,675911,field_out,hit_into_play,,,,,8,"Pete Alonso grounds out, second baseman Ozzie Albies to first baseman Matt Olson.",R,R,R,ATL,NYM,X,4.0,ground_ball,2,1,2025,-0.82,1.26,0.14,1.85,,,,0,6,Top,151.26,143.47,,,,,7.357380832066107,-136.5078518191085,-7.375652248545676,-11.830411800482072,30.63105012753817,-15.003157750417902,3.55,1.69,13.0,112.1,-7.0,95.2,2276,7.2,777455,686948,621566,645277,663586,669397,657077,671739,660670,53.34,0.429,0.358,0.0,1.0,0.0,0.0,2.0,48,4,4-Seam Fastball,3,1,1,3,1,3,1,3,Strategic,Standard,213,0.03,-0.296,75.5,6.6,0.465,0.296,112.1,2,-2,0.789,0.211,26,30,27,31,3,2,5,1,,1.0,1.34,0.82,0.82,40.5,-5.483318022864135,19.23671115479771,34.696029040805136,37.026903806504826,18.30118844944667,675911,pitcher,2025-06-22T01:44:09.924081
SL,2025-06-19,84.6,-1.86,5.73,"Strider, Spencer",624413,675911,,ball,,,,,14,"Pete Alonso grounds out, second baseman Ozzie Albies to first baseman Matt Olson.",R,R,R,ATL,NYM,B,,,1,1,2025,0.52,0.28,0.12,1.04,,,,0,6,Top,,,,,,,3.62355463790307,-123.17543851525538,-5.255577184233606,4.664308112076833,22.818932208081616,-28.544437013444455,3.43,1.69,,,,86.1,2267,7.1,777455,686948,621566,645277,663586,669397,657077,671739,660670,53.43,,,,,,,,48,3,Slider,3,1,1,3,1,3,1,3,Strategic,Standard,144,0.0,0.053,,,,-0.053,,2,-2,0.789,0.211,26,30,27,31,3,2,5,1,,1.0,2.89,-0.52,-0.52,39.8,,,,,,675911,pitcher,2025-06-22T01:44:09.924081
FF,2025-06-19,94.9,-1.86,5.78,"Strider, Spencer",624413,675911,,called_strike,,,,,4,"Pete Alonso grounds out, second baseman Ozzie Albies to first baseman Matt Olson.",R,R,R,ATL,NYM,S,,,1,0,2025,-0.84,1.53,-0.29,2.78,,,,0,6,Top,,,,,,,6.135894515159695,-138.05747863811578,-5.703738433302515,-12.180329300957878,31.437752846662153,-11.53671190556909,3.55,1.69,,,,96.6,2369,7.3,777455,686948,621566,645277,663586,669397,657077,671739,660670,53.2,,,,,,,,48,2,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,214,0.0,-0.049,,,,0.049,,2,-2,0.789,0.211,26,30,27,31,3,2,5,1,,1.0,1.01,0.84,0.84,40.8,,,,,,675911,pitcher,2025-06-22T01:44:09.924081
