Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,fantasy_points,season,player_type,GS,W,L,SV,IP,ER,ERA,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,IP_numeric
CJ Abrams,22,629,Maj-NL,Washington,151,614.0,563,83,138,28,6,18,64.0,32,2,118,13,3.0,3,7,47,4,0.245,0.3,0.412,0.712,1245.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Jos\xc3\xa9 Abreu,36,607,Maj-AL,Houston,152,642.0,584,68,141,24,1,22,103.0,46,1,138,6,0.0,6,16,1,1,0.241,0.301,0.399,0.7,1081.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Ronald Acu\xc3\xb1a Jr.,25,618,Maj-NL,Atlanta,163,752.0,657,152,219,36,4,41,106.0,82,3,86,10,0.0,3,15,74,14,0.333,0.414,0.588,1.001,2106.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Willy Adames,27,626,Maj-NL,Milwaukee,151,646.0,560,73,124,30,2,24,81.0,72,1,167,6,0.0,6,12,5,3,0.221,0.314,0.411,0.724,1099.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Ozzie Albies,26,618,Maj-NL,Atlanta,152,677.0,611,96,171,30,5,33,110.0,48,2,110,8,0.0,8,10,13,2,0.28,0.336,0.507,0.844,1418.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Nick Allen,24,629,Maj-AL,Oakland,106,329.0,303,29,67,4,2,4,20.0,17,0,52,1,6.0,2,8,5,1,0.221,0.263,0.287,0.55,406.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Pete Alonso,28,629,Maj-NL,New York,154,658.0,568,92,123,21,2,46,118.0,65,6,151,21,0.0,4,17,4,1,0.217,0.318,0.504,0.821,1355.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Jose Altuve,33,607,Maj-AL,Houston,101,461.0,409,87,126,24,2,21,57.0,46,0,75,5,0.0,1,9,15,2,0.308,0.384,0.531,0.915,1048.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Francisco Alvarez,21,629,Maj-NL,New York,123,423.0,382,51,80,12,0,25,63.0,34,0,110,6,0.0,1,14,2,0,0.209,0.284,0.437,0.721,757.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Yordan Alvarez,26,607,Maj-AL,Houston,125,545.0,453,89,140,26,2,37,112.0,73,7,106,14,0.0,5,7,0,0,0.309,0.417,0.62,1.037,1317.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Brian Anderson,30,633,Maj-NL,Milwaukee,96,361.0,318,38,72,12,3,9,40.0,36,0,108,4,0.0,3,10,1,3,0.226,0.31,0.368,0.678,559.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Tim Anderson,30,630,Maj-AL,Chicago,123,524.0,493,52,121,18,2,1,25.0,26,0,122,3,0.0,2,15,13,2,0.245,0.286,0.296,0.582,693.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Elvis Andrus,34,629,Maj-AL,Chicago,112,406.0,374,39,94,20,1,6,44.0,25,1,71,4,1.0,2,11,12,4,0.251,0.304,0.358,0.662,653.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Orlando Arcia,28,618,Maj-NL,Atlanta,143,547.0,501,66,131,25,0,17,66.0,40,0,106,3,0.0,3,14,1,0,0.261,0.318,0.413,0.731,917.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Nolan Arenado,32,639,Maj-NL,St. Louis,144,612.0,560,71,149,26,2,26,93.0,41,5,101,3,0.0,8,21,3,3,0.266,0.315,0.459,0.774,1122.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Gabriel Arias,23,634,Maj-AL,Cleveland,122,345.0,315,36,66,15,0,10,26.0,28,0,113,1,0.0,1,9,3,4,0.21,0.275,0.352,0.628,495.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Randy Arozarena,28,626,Maj-AL,Tampa Bay,153,662.0,559,95,143,20,3,23,83.0,80,1,158,18,0.0,5,10,22,10,0.256,0.364,0.426,0.79,1307.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Luis Arr\xc3\xa1ez,26,626,Maj-NL,Miami,149,625.0,582,71,204,30,3,10,69.0,35,10,34,4,1.0,3,18,3,2,0.351,0.389,0.464,0.853,1130.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Akil Baddoo,24,629,Maj-AL,Detroit,112,357.0,312,40,68,13,1,11,34.0,42,2,89,0,2.0,1,4,14,3,0.218,0.31,0.372,0.682,614.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
