player_name,position,predicted_fantasy_points,estimated_batting_avg,estimated_on_base_pct,estimated_slugging_pct,estimated_walk_rate,estimated_strikeout_rate,value_score
José Altuve,2B,5.33,0.6,0.5,0.6,0.0,0.0,35.132000000000005
Manny Machado,3B,5.33,0.5,0.5,0.45,0.0,0.25,30.632
Matt Olson,1B,3.88,0.5,0.5,0.45,0.2,0.2,30.052
Pete Alonso,1B,3.05,0.5,0.5,0.45,0.0,0.25,29.72
Mookie Betts,OF,6.74,0.25,0.325,0.4,0.2,0.2,24.445999999999998
Jazz Chisholm Jr.,2B,5.25,0.25,0.325,0.3,0.0,0.0,20.85
Freddie Freeman,1B,5.1,0.25,0.325,0.3,0.2,0.4,20.79
Cody Bellinger,OF,5.09,0.25,0.325,0.3,0.0,0.25,20.786
Marcus Semien,2B,3.87,0.25,0.325,0.3,0.0,0.0,20.298000000000002
Randy Arozarena,OF,3.73,0.25,0.325,0.3,0.0,0.25,20.242
