pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,player_id,player_type,fetch_date
SI,2024-09-07,90.7,-2.0,5.45,"Alonso, Pete",624413,596001,field_out,hit_into_play,,,,,8,Pete Alonso flies out to right fielder Jake Fraley.,R,R,R,NYM,CIN,X,9.0,fly_ball,1,1,2024,-1.07,0.31,-0.21,1.61,,,668901.0,2,4,Bot,200.01,82.87,,,,,6.756748497835355,-131.81151381482317,-4.317574897387878,-13.886840778261789,29.050987025418717,-27.795418620788933,3.46,1.59,340.0,98.3,34.0,90.6,2058,6.4,745775,663886,664034,663697,669289,682829,668715,670770,641584,54.13,0.229,0.438,0.0,1.0,0.0,0.0,5.0,28,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,224,-0.028,-0.257,77.5,7.3,0.846,0.257,98.3,0,0,0.528,0.528,31,29,32,30,2,1,6,1,5,1,2.47,1.07,1.07,31.6,7.591033074092566,1.1696499586840927,38.73556650215337,34.196884842416964,28.00770110391687,624413,batter,2025-06-21T20:57:10.374532
SL,2024-09-07,82.9,-2.26,5.69,"Alonso, Pete",624413,596001,,called_strike,,,,,1,Pete Alonso flies out to right fielder Jake Fraley.,R,R,R,NYM,CIN,S,,,1,0,2024,1.18,0.18,-0.53,2.87,,,668901.0,2,4,Bot,,,,,,,1.6233871827117816,-120.59662448094949,-0.2224418147964827,11.060469921649975,26.70829963808081,-30.62518825827541,3.34,1.55,,,,81.9,2563,5.9,745775,663886,664034,663697,669289,682829,668715,670770,641584,54.56,,,,,,,,28,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard,72,0.0,-0.048,,,,0.048,,0,0,0.528,0.528,31,29,32,30,2,1,6,1,5,1,3.18,-1.18,-1.18,29.1,,,,,,624413,batter,2025-06-21T20:57:10.374532
SI,2024-09-07,91.2,-1.94,5.57,"Alonso, Pete",624413,596001,,ball,,,,,14,Pete Alonso flies out to right fielder Jake Fraley.,R,R,R,NYM,CIN,B,,,0,0,2024,-1.34,0.5,0.6,1.0,,,668901.0,2,4,Bot,,,,,,,9.220768607394392,-132.42449677859827,-6.63008314994345,-17.759771805413866,29.267138613275627,-24.96884703300722,3.44,1.65,,,,90.8,2041,6.2,745775,663886,664034,663697,669289,682829,668715,670770,641584,54.27,,,,,,,,28,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,222,0.0,0.034,,,,-0.034,,0,0,0.528,0.528,31,29,32,30,2,1,6,1,5,1,2.26,1.34,1.34,31.1,,,,,,624413,batter,2025-06-21T20:57:10.374532
FF,2024-09-07,94.1,-1.03,5.49,"Alonso, Pete",624413,686730,single,hit_into_play,,,,,3,Pete Alonso singles on a ground ball to left fielder Spencer Steer.,R,R,R,NYM,CIN,X,7.0,ground_ball,1,2,2024,-0.67,1.65,0.53,3.01,,,,0,8,Bot,92.6,154.19,,,,,5.596522074124529,-136.7387877174396,-4.317983396165869,-9.778678700256698,34.62969099586373,-10.87307366702966,3.46,1.59,72.0,104.9,2.0,94.2,2445,6.8,745775,663886,664034,663697,669289,682829,668715,641584,677956,53.75,0.543,0.501,0.9,1.0,1.0,0.0,4.0,60,5,4-Seam Fastball,4,0,4,0,0,4,4,0,Standard,Standard,214,0.002,0.516,73.9,7.7,0.6,-0.516,104.9,4,4,0.989,0.989,26,29,27,30,2,3,5,1,5,1,0.97,0.67,0.67,36.6,22.157222234700427,-14.507644696423682,29.823388056582868,42.22584778270539,32.943589087358184,624413,batter,2025-06-21T20:57:10.374532
ST,2024-09-07,82.7,-1.34,5.21,"Alonso, Pete",624413,686730,,foul,,,,,14,Pete Alonso singles on a ground ball to left fielder Spencer Steer.,R,R,R,NYM,CIN,S,,,1,2,2024,1.45,0.13,1.26,1.47,,,,0,8,Bot,,,,,,,3.1276688820277716,-120.37763748805048,-2.2114898993591856,13.257507589786856,26.782055218664375,-30.66714200935699,3.46,1.59,2.0,52.1,-45.0,82.9,2716,6.8,745775,663886,664034,663697,669289,682829,668715,641584,677956,53.74,,,,,,,,60,4,Sweeper,4,0,4,0,0,4,4,0,Standard,Standard,71,0.0,0.0,86.9,7.9,,0.0,88.0,4,4,0.989,0.989,26,29,27,30,2,3,5,1,5,1,3.24,-1.45,-1.45,29.3,11.624285586148154,-3.804998605611344,30.08220847370977,50.39478099022505,38.51240313669665,624413,batter,2025-06-21T20:57:10.374532
FF,2024-09-07,93.5,-0.96,5.6,"Alonso, Pete",624413,686730,,ball,,,,,12,Pete Alonso singles on a ground ball to left fielder Spencer Steer.,R,R,R,NYM,CIN,B,,,0,2,2024,-0.8,1.69,0.19,3.94,,,,0,8,Bot,,,,,,,4.759593230463342,-135.97074430654754,-2.218636127444104,-10.9920877478788,32.54812260651341,-11.01414337720894,3.45,1.6,,,,93.6,2378,6.6,745775,663886,664034,663697,669289,682829,668715,641584,677956,53.9,,,,,,,,60,3,4-Seam Fastball,4,0,4,0,0,4,4,0,Standard,Standard,211,0.0,0.023,,,,-0.023,,4,4,0.989,0.989,26,29,27,30,2,3,5,1,5,1,0.94,0.8,0.8,40.6,,,,,,624413,batter,2025-06-21T20:57:10.374532
SI,2024-09-07,93.3,-1.12,5.35,"Alonso, Pete",624413,686730,,called_strike,,,,,7,Pete Alonso singles on a ground ball to left fielder Spencer Steer.,R,R,R,NYM,CIN,S,,,0,1,2024,-1.6,1.07,-0.61,1.64,,,,0,8,Bot,,,,,,,4.887111676222447,-135.65008774756183,-6.114834596849339,-20.83553668641301,31.648205522308587,-17.82624911706226,3.43,1.66,,,,93.7,2293,6.7,745775,663886,664034,663697,669289,682829,668715,641584,677956,53.75,,,,,,,,60,2,Sinker,4,0,4,0,0,4,4,0,Standard,Standard,223,0.0,-0.054,,,,0.054,,4,4,0.989,0.989,26,29,27,30,2,3,5,1,5,1,1.57,1.6,1.6,32.8,,,,,,624413,batter,2025-06-21T20:57:10.374532
ST,2024-09-07,80.3,-1.55,5.25,"Alonso, Pete",624413,686730,,called_strike,,,,,4,Pete Alonso singles on a ground ball to left fielder Spencer Steer.,R,R,R,NYM,CIN,S,,,0,0,2024,1.26,0.2,-0.68,2.63,,,,0,8,Bot,,,,,,,-0.4690026670096092,-116.95955180758456,0.5689185566284114,11.6042815861759,23.528924823538944,-30.67940748591491,3.43,1.62,,,,80.7,2656,6.7,745775,663886,664034,663697,669289,682829,668715,641584,677956,53.83,,,,,,,,60,1,Sweeper,4,0,4,0,0,4,4,0,Standard,Standard,74,0.0,-0.037,,,,0.037,,4,4,0.989,0.989,26,29,27,30,2,3,5,1,5,1,3.35,-1.26,-1.26,31.2,,,,,,624413,batter,2025-06-21T20:57:10.374532
FF,2024-09-07,91.9,-1.94,5.76,"Alonso, Pete",624413,596001,strikeout,called_strike,,,,,1,Pete Alonso called out on strikes.,R,R,R,NYM,CIN,S,2.0,,2,2,2024,-0.45,1.36,-0.31,3.32,,,,0,2,Bot,,,,,,,5.104989798064466,-133.7794697788656,-3.2516482211564663,-6.51632223230686,29.466357264866136,-15.399400478466186,3.52,1.66,,,,91.7,2201,6.2,745775,663886,664034,663697,669289,682829,668715,670770,641584,54.33,,0.0,0.0,1.0,0.0,0.0,,12,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,217,-0.023,-0.227,,,,0.227,,0,0,0.55,0.55,31,29,32,30,1,0,6,1,5,1,1.34,0.45,0.45,33.4,,,,,,624413,batter,2025-06-21T20:57:10.374532
SL,2024-09-07,81.6,-2.34,5.75,"Alonso, Pete",624413,596001,,swinging_strike,,,,,9,Pete Alonso called out on strikes.,R,R,R,NYM,CIN,S,,,2,1,2024,1.4,0.17,0.29,2.12,,,,0,2,Bot,,,,,,,3.20347523702146,-118.77805693210377,-1.814927166452356,12.434508294265273,25.624451774475663,-30.45462761411248,3.46,1.59,,,,80.6,2583,5.9,745775,663886,664034,663697,669289,682829,668715,670770,641584,54.63,,,,,,,,12,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,66,0.0,-0.069,80.8,7.5,,0.069,,0,0,0.55,0.55,31,29,32,30,1,0,6,1,5,1,3.29,-1.4,-1.4,28.9,12.992304180698335,-6.9804232681234835,33.496265882354585,38.72159394332142,33.71905710415684,624413,batter,2025-06-21T20:57:10.374532
