pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,player_id,player_type,fetch_date
SL,2024-09-07,91.0,0.14,6.25,"Helsley, Ryan",677594,664854,strikeout,swinging_strike_blocked,,,,,14,Julio Rodríguez strikes out swinging.,R,R,R,STL,SEA,S,2.0,,0,2,2024,0.2,-0.13,0.33,0.61,,,664238.0,2,9,Top,,,,,,,0.0390390391403578,-132.31385263700696,-7.949439789538356,2.373251988483355,28.959700402407577,-32.194062766897716,3.48,1.59,,,,91.1,2587,6.5,745125,686780,502671,665877,571448,691026,663457,672279,687363,54.05,,0.0,0.0,1.0,0.0,0.0,,64,5,Slider,2,0,0,2,0,2,0,2,Standard,Standard,131,0.035,-0.169,66.8,9.3,,0.169,,2,-2,0.965,0.035,29,23,30,24,1,4,4,1,4,1,2.89,-0.2,-0.2,65.5,22.55963334848678,-28.645696945346767,36.0171905773512,44.46641801970077,51.95386772055025,664854,pitcher,2025-06-21T20:59:24.629289
FF,2024-09-07,99.3,0.08,6.26,"Helsley, Ryan",677594,664854,,foul,,,,,1,Julio Rodríguez strikes out swinging.,R,R,R,STL,SEA,S,,,0,2,2024,-0.4,1.65,-0.6,2.99,,,664238.0,2,9,Top,,,,,,,-0.9272559572336796,-144.41570219457356,-7.412707328094017,-5.3217875431519825,35.180145253533645,-7.571657878628877,3.48,1.59,234.0,75.3,37.0,99.4,2658,6.5,745125,686780,502671,665877,571448,691026,663457,672279,687363,54.0,,,,,,,,64,4,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,194,0.0,0.0,64.0,6.4,,0.0,88.0,2,-2,0.965,0.035,29,23,30,24,1,4,4,1,4,1,0.67,0.4,0.4,65.7,-9.78270520199227,23.638118586416443,37.16795384815845,33.267374575392004,14.388290495128269,664854,pitcher,2025-06-21T20:59:24.629289
SL,2024-09-07,88.5,0.18,6.3,"Helsley, Ryan",677594,664854,,foul,,,,,9,Julio Rodríguez strikes out swinging.,R,R,R,STL,SEA,S,,,0,2,2024,0.45,-0.21,0.34,1.87,,,664238.0,2,9,Top,,,,,,,-0.5553823757770786,-128.85651364189752,-4.274019210235753,5.161017548357486,28.86440612364316,-33.76224573773558,3.48,1.59,4.0,89.2,-25.0,88.5,2551,6.5,745125,686780,502671,665877,571448,691026,663457,672279,687363,54.04,,,,,,,,64,3,Slider,2,0,0,2,0,2,0,2,Standard,Standard,102,0.0,0.0,81.3,8.7,,0.0,89.2,2,-2,0.965,0.035,29,23,30,24,1,4,4,1,4,1,3.13,-0.45,-0.45,67.2,14.813580400749824,-11.230151363497535,31.678673392791836,44.88705138713572,40.71696737096472,664854,pitcher,2025-06-21T20:59:24.629289
SL,2024-09-07,91.0,0.09,6.22,"Helsley, Ryan",677594,664854,,swinging_strike,,,,,8,Julio Rodríguez strikes out swinging.,R,R,R,STL,SEA,S,,,0,1,2024,0.27,-0.15,0.21,1.97,,,664238.0,2,9,Top,,,,,,,-0.2946720928005977,-132.4068712237589,-4.415122423375875,3.263437118428586,30.63463706387475,-33.10954969345112,3.48,1.59,,,,90.8,2558,6.4,745125,686780,502671,665877,571448,691026,663457,672279,687363,54.13,,,,,,,,64,2,Slider,2,0,0,2,0,2,0,2,Standard,Standard,129,0.0,-0.054,77.3,8.5,,0.054,,2,-2,0.965,0.035,29,23,30,24,1,4,4,1,4,1,2.92,-0.27,-0.27,63.7,14.87867973918319,-13.651571759260245,29.334924464782713,43.99483611559772,41.9843178376135,664854,pitcher,2025-06-21T20:59:24.629289
SL,2024-09-07,90.8,0.16,6.34,"Helsley, Ryan",677594,664854,,called_strike,,,,,5,Julio Rodríguez strikes out swinging.,R,R,R,STL,SEA,S,,,0,0,2024,0.33,0.13,0.2,2.31,,,664238.0,2,9,Top,,,,,,,-0.6252437727683245,-132.2201191859258,-4.4480193766248215,4.0039975997592,29.839161320202276,-29.91353529295406,3.45,1.62,,,,91.1,2514,6.6,745125,686780,502671,665877,571448,691026,663457,672279,687363,53.91,,,,,,,,64,1,Slider,2,0,0,2,0,2,0,2,Standard,Standard,150,0.0,-0.047,,,,0.047,,2,-2,0.965,0.035,29,23,30,24,1,4,4,1,4,1,2.65,-0.33,-0.33,64.6,,,,,,664854,pitcher,2025-06-21T20:59:24.629289
SL,2024-09-07,91.9,-0.01,6.26,"Helsley, Ryan",664238,664854,single,hit_into_play,,,,,8,Dylan Moore singles on a fly ball to left fielder Lars Nootbaar.,R,R,R,STL,SEA,X,7.0,fly_ball,0,1,2024,0.53,-0.05,0.07,2.05,,,,2,9,Top,104.0,115.47,,,,,-0.962257834623572,-133.84712103918804,-4.708718293469042,6.603450995293545,31.051488931064146,-31.900544885568586,3.46,1.55,195.0,62.5,28.0,92.1,2557,6.6,745125,686780,502671,665877,571448,691026,663457,672279,687363,53.94,0.709,0.638,0.9,1.0,1.0,0.0,4.0,63,2,Slider,2,0,0,2,0,2,0,2,Standard,Standard,153,-0.024,0.373,67.3,8.1,0.75,-0.373,88.0,2,-2,0.989,0.011,29,31,30,32,1,1,4,1,4,1,2.76,-0.53,-0.53,63.9,18.335998791870537,-38.3452146292159,29.29519935420491,38.11454571596847,49.889812064641,664854,pitcher,2025-06-21T20:59:24.629289
FF,2024-09-07,97.9,0.12,6.34,"Helsley, Ryan",664238,664854,,called_strike,,,,,1,Dylan Moore singles on a fly ball to left fielder Lars Nootbaar.,R,R,R,STL,SEA,S,,,0,0,2024,-0.11,1.38,-0.72,2.87,,,,2,9,Top,,,,,,,-2.0332605271608797,-142.3820274712013,-7.083323217744377,-0.9994516064666994,34.07986531821221,-11.95991133343338,3.36,1.52,,,,98.1,2629,6.5,745125,686780,502671,665877,571448,691026,663457,672279,687363,54.0,,,,,,,,63,1,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,192,0.0,-0.041,,,,0.041,,2,-2,0.989,0.011,29,31,30,32,1,1,4,1,4,1,1.01,0.11,0.11,67.3,,,,,,664854,pitcher,2025-06-21T20:59:24.629289
SL,2024-09-07,91.1,-0.09,6.2,"Helsley, Ryan",571745,664854,strikeout,swinging_strike_blocked,,,,,14,"Mitch Haniger strikes out swinging, catcher Pedro Pagés to first baseman Paul Goldschmidt.",R,R,R,STL,SEA,S,2.0,,1,2,2024,0.4,-0.31,0.56,0.41,,,,1,9,Top,,,,,,,0.756552086489706,-132.44847711575215,-7.979339815773948,4.492132926264788,30.16153730288576,-34.19822126086556,3.41,1.57,,,,91.3,2563,6.6,745125,686780,502671,665877,571448,691026,663457,672279,687363,53.87,,0.0,0.0,1.0,0.0,0.0,,62,6,Slider,2,0,0,2,0,2,0,2,Standard,Standard,136,0.023,-0.182,47.0,7.6,,0.182,,2,-2,0.966,0.034,29,33,30,34,1,3,4,1,4,8,3.07,-0.4,-0.4,64.6,9.724350399499151,4.3262154868199865,38.96346449039808,47.624922755293,31.962364551879386,664854,pitcher,2025-06-21T20:59:24.629289
SL,2024-09-07,89.7,-0.24,6.21,"Helsley, Ryan",571745,664854,,foul,,,,,8,"Mitch Haniger strikes out swinging, catcher Pedro Pagés to first baseman Paul Goldschmidt.",R,R,R,STL,SEA,S,,,1,2,2024,0.1,0.08,0.26,1.91,,,,1,9,Top,,,,,,,1.028489371978199,-130.72114178321905,-4.907475371830652,0.9441181546129724,25.929322805092657,-30.480946446553425,3.41,1.57,,,,90.4,2565,6.5,745125,686780,502671,665877,571448,691026,663457,672279,687363,53.98,,,,,,,,62,5,Slider,2,0,0,2,0,2,0,2,Standard,Standard,83,0.0,0.0,65.0,8.0,,0.0,,2,-2,0.966,0.034,29,33,30,34,1,3,4,1,4,8,2.73,-0.1,-0.1,61.6,27.120750324912017,-13.426779916514434,31.95311682506817,43.585455302132544,41.10444570123318,664854,pitcher,2025-06-21T20:59:24.629289
SL,2024-09-07,90.2,-0.13,6.28,"Helsley, Ryan",571745,664854,,foul,,,,,11,"Mitch Haniger strikes out swinging, catcher Pedro Pagés to first baseman Paul Goldschmidt.",R,R,R,STL,SEA,S,,,1,2,2024,0.17,-0.18,-0.93,2.62,,,,1,9,Top,,,,,,,-2.361707328325707,-131.3080559933197,-2.770575310758794,2.453586723800572,28.12550616631515,-33.83945288232346,3.41,1.57,,,,90.6,2513,6.5,745125,686780,502671,665877,571448,691026,663457,672279,687363,53.99,,,,,,,,62,4,Slider,2,0,0,2,0,2,0,2,Standard,Standard,112,0.0,0.0,26.0,4.2,,0.0,,2,-2,0.966,0.034,29,33,30,34,1,3,4,1,4,8,2.98,-0.17,-0.17,65.8,-22.637459332716674,62.940667511293654,38.3281625421612,27.842408023506607,1.2359871773690507,664854,pitcher,2025-06-21T20:59:24.629289
